Station_ID,Date_Time,wind_speed_set_1,wind_direction_set_1
KSNT,04/28/2020 08:51 UTC,0,0
KSNT,04/28/2020 09:51 UTC,0,0
KSNT,04/28/2020 10:51 UTC,0,0
KSNT,04/28/2020 11:51 UTC,0,0
KSNT,04/28/2020 12:51 UTC,4.61,150
KSNT,04/28/2020 13:51 UTC,3.44,90
KSNT,04/28/2020 14:51 UTC,0,0
KSNT,04/28/2020 15:51 UTC,0,0
KSNT,04/28/2020 16:51 UTC,0,0
KSNT,04/28/2020 17:51 UTC,5.75,10
KSNT,04/28/2020 18:51 UTC,,
KSNT,04/28/2020 19:51 UTC,,
KSNT,04/28/2020 20:51 UTC,0,0
KSNT,04/28/2020 21:51 UTC,6.91,220
KSNT,04/28/2020 22:51 UTC,4.61,
KSNT,04/28/2020 23:51 UTC,5.75,20
KSNT,04/29/2020 00:51 UTC,4.61,360
KSNT,04/29/2020 01:51 UTC,3.44,
KSNT,04/29/2020 02:51 UTC,3.44,230
KSNT,04/29/2020 03:51 UTC,5.75,180
KSNT,04/29/2020 04:51 UTC,4.61,170
KSNT,04/29/2020 05:51 UTC,3.44,150
KSNT,04/29/2020 06:51 UTC,0,0
KSNT,04/29/2020 07:51 UTC,3.44,160
KSNT,04/29/2020 08:51 UTC,3.44,180
KSNT,04/29/2020 09:51 UTC,0,0
KSNT,04/29/2020 10:51 UTC,4.61,180
KSNT,04/29/2020 11:51 UTC,0,0
KSNT,04/29/2020 12:51 UTC,0,0
KSNT,04/29/2020 13:51 UTC,3.44,80
KSNT,04/29/2020 14:51 UTC,0,0
KSNT,04/29/2020 15:51 UTC,3.44,40
KSNT,04/29/2020 16:51 UTC,0,0
KSNT,04/29/2020 17:51 UTC,6.91,360
KSNT,04/29/2020 18:51 UTC,6.91,150
KSNT,04/29/2020 19:51 UTC,8.05,200
KSNT,04/29/2020 20:51 UTC,12.66,190
KSNT,04/29/2020 21:51 UTC,6.91,
KSNT,04/29/2020 22:51 UTC,9.22,180
KSNT,04/29/2020 23:51 UTC,9.22,170
KSNT,04/30/2020 00:51 UTC,3.44,
KSNT,04/30/2020 01:51 UTC,5.75,190
KSNT,04/30/2020 02:51 UTC,6.91,180
KSNT,04/30/2020 03:51 UTC,6.91,150
KSNT,04/30/2020 04:51 UTC,4.61,160
KSNT,04/30/2020 05:51 UTC,3.44,200
KSNT,04/30/2020 06:51 UTC,3.44,170
KSNT,04/30/2020 07:51 UTC,3.44,270
KSNT,04/30/2020 08:51 UTC,0,0
KSNT,04/30/2020 09:51 UTC,6.91,160
KSNT,04/30/2020 10:51 UTC,6.91,150
KSNT,04/30/2020 11:51 UTC,0,0
KSNT,04/30/2020 12:51 UTC,0,0
KSNT,04/30/2020 13:51 UTC,0,0
KSNT,04/30/2020 14:51 UTC,3.44,200
KSNT,04/30/2020 15:51 UTC,0,0
KSNT,04/30/2020 16:51 UTC,3.44,190
KSNT,04/30/2020 17:51 UTC,3.44,160
KSNT,04/30/2020 18:51 UTC,4.61,
KSNT,04/30/2020 19:51 UTC,14.97,310
KSNT,04/30/2020 20:51 UTC,6.91,140
KSNT,04/30/2020 21:51 UTC,0,0
KSNT,04/30/2020 22:51 UTC,4.61,130
KSNT,04/30/2020 23:51 UTC,4.61,170
KSNT,05/01/2020 00:51 UTC,8.05,180
KSNT,05/01/2020 01:51 UTC,3.44,150
